fecha,fallecidos totales,Cementerio Municipal,Campo Santo Santa Ana,"0 - 12 años
CM","12 - 18 años
CM","18 - 40 años
CM","40 - 65 años
CM","65 años en adelante
CM","confirmado COVID
CM","sospecha COVID
CM","NO COVID
CM","Hombres
CSSA","Mujeres
CSSA","0 - 12 años
CSSA","12 - 18 años
CSSA","18 - 40 años
CSSA","40 - 65 años
CSSA","65 años en adelante
CSSA","confirmado COVID
CSSA","sospecha COVID
CSSA","NO COVID
CSSA",0 - 12 años,12 - 18 años,18 - 40 años,40 - 65 años,65 años en adelante,confirmado COVID,sospecha COVID,NO COVID
6/6/20,8,4,4,,,1,1,2,,1,3,4,,,,,,4,4,,,0,0,1,1,6,4,1,3
7/6/20,6,2,4,,,,1,1,,,2,3,1,,,,1,3,1,,3,0,0,0,2,4,1,0,5
8/6/20,9,7,2,1,,,3,3,,2,5,2,,,,,1,1,1,1,,1,0,0,4,4,1,3,5
9/6/20,7,3,4,,,1,,2,,1,2,1,3,,,,1,3,2,,2,0,0,1,1,5,2,1,4
10/6/20,3,2,1,1,,,1,,,1,1,,1,,,,,1,,1,,1,0,0,1,1,0,2,1
11/6/20,3,1,2,1,,,,,,,1,2,,,,,1,1,,1,1,1,0,0,1,1,0,1,2
12/6/20,9,5,4,,,,1,4,2,,3,3,1,,,1,1,2,,,4,0,0,1,2,6,2,0,7
13/6/20,4,1,3,,,,,1,,,1,1,2,,,,,3,1,,2,0,0,0,0,4,1,0,3
14/6/20,4,2,2,,,,1,1,,,2,2,,,,,1,1,,2,,0,0,0,2,2,0,2,2
15/6/20,7,4,3,,,,,4,,,4,3,,,,,,3,2,,1,0,0,0,0,7,2,0,5
16/6/20,8,2,6,,,,,2,,1,1,4,2,,,,2,4,1,2,3,0,0,0,2,6,1,3,4
17/6/20,10,5,5,,,,2,3,1,,4,1,4,,,,2,3,,,5,0,0,0,4,6,1,0,9
18/6/20,4,3,1,,,,1,2,,,3,1,,,,,,1,,,1,0,0,0,1,3,0,0,4
19/6/20,8,5,3,,,,,5,1,1,3,3,,,,,1,2,1,,2,0,0,0,1,7,2,1,5
20/6/20,9,3,6,,,,,3,,1,2,,6,,,,,6,1,,5,0,0,0,0,9,1,1,7
21/6/20,3,2,1,,,,,2,,,2,,1,,,,,1,1,,,0,0,0,0,3,1,0,2
22/6/20,7,3,4,1,,,1,1,1,1,1,2,2,,,,1,3,1,,3,1,0,0,2,4,2,1,4
23/6/20,7,4,3,,,1,1,2,2,,2,1,2,,,,1,2,1,,2,0,0,1,2,4,3,0,4
24/6/20,8,5,3,1,,1,,3,,1,4,2,1,,,,2,1,2,1,,1,0,1,2,4,2,2,4
25/6/20,11,3,8,,,,,3,,1,2,3,5,,,2,3,3,5,1,2,0,0,2,3,6,5,2,4
26/6/20,8,4,4,,,1,1,2,2,,2,2,2,,,,2,2,1,1,2,0,0,1,3,4,3,1,4
27/6/20,3,1,2,,,,,1,,1,,1,1,,,,,2,2,,,0,0,0,0,3,2,1,0
28/6/20,10,3,7,,,,,3,,,3,3,4,,,,1,6,,,7,0,0,0,1,9,0,0,10
29/6/20,4,2,2,,,,1,1,,,2,,2,,,,,2,1,,1,0,0,0,1,3,1,0,3
30/6/20,6,1,5,,,,,1,,,1,4,1,,,,2,3,2,1,2,0,0,0,2,4,2,1,3
1/7/20,5,2,3,,,2,,,1,,1,2,1,,,,2,1,1,1,1,0,0,2,2,1,2,1,2
2/7/20,12,4,8,,,,1,3,2,1,1,7,1,,,1,2,5,2,2,4,0,0,1,3,8,4,3,5
3/7/20,10,1,9,,,,,1,1,,,6,3,,,,1,8,4,,5,0,0,0,1,9,5,0,5
